name,description,rarity,type,cards
Combat Gauntlets,Sturdy gauntlets for basic protection,common,Chest,Defensive Stance|Guard
Combat Belt,A simple belt for holding gear,common,Belt,Battle Stance|Power Strike
Battle Axe,A basic axe for new adventurers,common,Weapon,Battle Strike|Power Strike
Shield Manual,A beginner's guide to shield use,common,Offhand,Defensive Stance|Guard
Village Amulet,A lucky amulet from the village,common,Accessory,Healing Touch|Village Blessing
Village Talisman,A protective talisman from the village,common,Accessory,Herbal Remedy|Village Blessing
Stealth Cloak,A basic cloak for stealth operations,common,Chest,Shadow Step|Stealth Strike
Stealth Tool,A basic tool for stealth operations,common,Offhand,Precision Strike|Shadow Step
Spellbook,A basic book of spells,common,Offhand,Fireball|Arcane Bolt
Herbal Kit,A small healing kit,common,Offhand,Herbal Remedy|Healing Touch
Mystic Amulet,An amulet of great power,legendary,Accessory,Arcane Bolt|Mystic Shield|Time Warp
Battle Trinkets,A set of combat trinkets,legendary,Accessory,Warrior's Strike|Tactical Retreat|Battle Cry
Elemental Ring,A ring of elemental power,legendary,Accessory,Fire Bolt|Ice Bolt|Lightning Bolt
Cosmic Lens,A lens that sees the future,epic,Accessory,Cosmic Vision|Starlight|Time Warp
Celestial Vision,A lens that sees the stars,rare,Accessory,Celestial Sight|Starlight|Cosmic Vision
Cloud Walker,A charm that lets you walk on clouds,rare,Accessory,Cloud Step|Cloud Mastery|Wind Walk
Combat Belt,A belt of combat,rare,Belt,Power Strike|Battle Stance
Cosmic Vision,A lens that sees the future,rare,Accessory,Cosmic Vision|Starlight|Time Warp
Fairy Charm,A magical charm from the forest spirits,rare,Accessory,Fairy Blessing|Nature's Blessing|Healing Touch
Magic Amulet,An amulet of magic,rare,Accessory,Arcane Bolt|Mystic Shield
Magic Ring,A ring of magic,rare,Accessory,Energy Bolt|Arcane Bolt|Magic Shield
Meditation Beads,Beads that enhance focus,rare,Accessory,Inner Peace|Balance|Healing Touch
Natural Balance,A symbol of nature's harmony,rare,Accessory,Balance|Nature's Blessing|Inner Peace
Temple's Blessing,A blessing from the temple,rare,Accessory,Temple's Grace|Divine Shield|Healing Touch
Village Amulet,A charm from the village,rare,Accessory,Village Blessing|Healing Touch|Herbal Remedy
